dataset,group,file,drain_sec,producer_wait_sec,queue_peak_slices,queue_peak_bytes,payload_peak_bound_bytes,memory_mb,window_slices,queue_slices,max_live_slices
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.046,0.0,4,96238480,264655820,256,4,7,11
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.007,0.0,4,32052816,264435732,256,4,29,33
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.006,0.0,5,38528100,261991080,256,4,30,34
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.219,0.0,6,144357720,264655820,256,4,7,11
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.035,0.0,6,48079224,264435732,256,4,29,33
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.032,0.0,6,46233720,261991080,256,4,30,34
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.14,0.856,7,168417340,264655820,256,4,7,11
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.008,0.0,4,32052816,264435732,256,4,29,33
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.007,0.0,4,30822480,261991080,256,4,30,34
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.143,0.0,7,168417340,264655820,256,4,7,11
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.048,0.0,6,48079224,264435732,256,4,29,33
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,0.045,0.0,6,46233720,261991080,256,4,30,34
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121632_037_pid13184.log,0.047,0.0,4,96238480,264655820,256,4,7,11
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121632_037_pid13184.log,0.006,0.0,4,32052816,264435732,256,4,29,33
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121632_037_pid13184.log,0.006,0.0,4,30822480,261991080,256,4,30,34
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121632_037_pid13184.log,0.225,0.0,7,168417340,264655820,256,4,7,11
