dataset,layout,group,file,total_elapsed_sec,workload_total_sec,suite_hash,format_version,format_layout,micro_size,block_size
test18,legacy,test18_legacy,block3d_test18_20260717_120803_852_pid29076.log,125.7,23.99,0c5cecf06c8ed881,1,legacy,0,
test18,legacy,test18_legacy,block3d_test18_20260717_121009_584_pid33152.log,130.7,27.228,0c5cecf06c8ed881,1,legacy,0,
test18,legacy,test18_legacy,block3d_test18_20260717_121220_278_pid9452.log,124.2,24.94,0c5cecf06c8ed881,1,legacy,0,
test18,micro8,test18_micro8,block3d_test18_20260717_162658_789_pid14280.log,131.5,27.303,0c5cecf06c8ed881,2,micro-tiled,8,56
test18,micro8,test18_micro8,block3d_test18_20260717_173628_665_pid31328.log,123.3,21.397,0c5cecf06c8ed881,2,micro-tiled,8,56
test18,micro8,test18_micro8,block3d_test18_20260717_173832_142_pid25624.log,122.3,21.365,0c5cecf06c8ed881,2,micro-tiled,8,56
test50,legacy,test50_legacy,block3d_test50_20260717_122135_144_pid32116.log,299.9,135.087,5bc463ef8b4289a1,1,legacy,0,
test50,legacy,test50_legacy,block3d_test50_20260717_122635_127_pid3952.log,316.4,147.85,5bc463ef8b4289a1,1,legacy,0,
test50,legacy,test50_legacy,block3d_test50_20260717_123151_612_pid21336.log,321.0,152.933,5bc463ef8b4289a1,1,legacy,0,
test50,micro8,test50_micro8,block3d_test50_20260717_163535_039_pid26420.log,246.3,96.945,5bc463ef8b4289a1,2,micro-tiled,8,64
test50,micro8,test50_micro8,block3d_test50_20260717_164510_964_pid10784.log,247.9,97.221,5bc463ef8b4289a1,2,micro-tiled,8,64
